主要趨勢,子項趨勢,關鍵字hashtags
經濟Economic,全球供應鏈重組,"#地緣政治、#關鍵原物料、#產業鏈移轉、#供應鏈重組 #區域化生產 #近岸外包 #供應鏈韌性 #貿易摩擦 #製造業回流 #數位供應鏈 #風險管理 #產業政策 #全球化轉型 #經濟安全
"
經濟Economic,"車用市場需求轉強,電動車競爭加劇","#電動車、#特斯拉、#平價車款、#車用晶片、#電池技術、#自駕車、#充電樁、#車電子、#淨零碳排、#產業鏈
"
經濟Economic,"人口老齡化和勞動力短缺,移民政策成關鍵","#人口老齡化、#勞動力短缺、#移民政策、#人才吸引、#社會融合、#自動化、#產能受限、#跨國招聘
"
經濟Economic,銀髮經濟市場全球持續擴大,"#銀髮經濟 #人口老齡化 #養老服務 #智慧醫療 #銀髮科技 #世代融合 #退休規劃 #長照產業 #樂齡生活 #健康老化 #銀髮創新 #社會福利


"
經濟Economic,"太空經濟開發加速，美國逐漸從政府主導轉向私有化
","#太空經濟 #商業太空 #衛星產業 #太空探索 #太空旅遊 #太空製造 #太空資源 #太空創新 #太空治理 #新興前沿 #科技突破 #經濟新領域

"
經濟Economic,"數位平台經濟主導市場
","#平台經濟 #數位生態系 #共享經濟 #電子商務 #數據驅動 #網路效應 #平台壟斷 #數位市場 #跨界融合 #去中心化平台 #數位監管 #創新生態
"
經濟Economic,"永續發展與綠色經濟

","#永續發展 #綠色經濟 #碳中和 #ESG投資 #再生能源 #循環經濟 #氣候行動 #綠色就業 #環境政策 #永續創新 #能源轉型 #綠色金融
"
經濟Economic,"數位貨幣與金融科技崛起

",#數位貨幣 #金融科技 #加密貨幣 #央行數位貨幣 #區塊鏈 #金融創新 #支付革命 #金融普惠 #監管科技 #去中心化金融 #金融安全 #數位金融
環境Ecology,低碳技術創新加速淨零排放進程,"#淨零排放、#低碳創新、#清潔能源、#電動車、#氫能、#碳捕獲、#鈣鈦礦電池、#綠色鋼鐵
"
環境Ecology,"極端天氣頻發,氣候變遷加劇","#氣候變遷、#全球暖化、#極端天氣、#生態系統、#海洋酸化、#亞馬遜雨林、#冰川消融、#海平面上升、#減碳、#氣候行動
"
環境Ecology,糧食安全面臨氣候變遷威脅,"#糧食安全、#智慧農業、#垂直農業、#基因工程、#植物肉、#農廢利用、#食品加工、#營養健康
"
環境Ecology,"AI發展加速能耗,綠色節能成關鍵","#數位經濟、#能源消耗、#綠色數據中心、#人工智慧、#加密貨幣、#可再生能源、#能源效率
"
環境Ecology,全球加速淨零排放轉型,#淨零排放 #氣候行動 #減碳目標 #綠色轉型 #永續發展 #能源轉型 #低碳經濟 #碳中和 #氣候政策 #綠色創新 #環境保護 #全球暖化
環境Ecology,"碳捕捉技術備受關注

",#碳捕捉 #CCUS #減碳技術 #氣候行動 #綠色創新 #碳中和 #永續工業 #環境科技 #碳管理 #能源轉型 #氣候解決方案 #環境永續
環境Ecology,"循環經濟模式廣泛採用



",#循環經濟 #資源效率 #永續發展 #零廢棄 #綠色創新 #再利用 #回收再製 #產品生命週期 #共享經濟 #綠色設計 #環境永續 #資源管理
科技Technology,多模態LMM漸成生成式AI主流,"#生成式AI #ChatGPT #AI革命 #個性化AI #AI助手 #代碼生成 #AI治理 #AI倫理 #多模態AI #大型語言模型 #擴散變換器 #OpenAI #Sora #StabilityAI #StableDiffusion #AI架構 #GPT4 #跨模態轉換
"
科技Technology,AI晶片效能與基礎建設快速進化,"#AI晶片 #GPU需求 #半導體創新 #異構計算 #製程工藝 #台積電 #Nvidia #英特爾 #邊緣運算 #雲端運算 #Google #微軟 #Meta #AI加速器 #AMD #Cerebras #AI基礎設施 #AI算力 #低功耗設計 #AI成本 #H100 #TPU #WaferScaleEngine #Wafer-on-Wafer #AI即服務 #高性能運算 #異質整合 #記憶體頻寬
"
科技Technology,「AI+X」AI賦能產業升級轉型,"
#AI+X #智慧製造 #智慧醫療 #智慧金融 #智慧交通 #智慧城市 #產業AI #數位經濟 #AI人才 #AI醫療 #AI金融 #智慧製造 #產業轉型 #精準醫療 #風險管理 #預測性維護 #能源效率 #數據驅動決策 #產業智能化 #AI+教育 #智慧風控 #智能駕駛 #AI教師 #智慧供應鏈 #企業AI #金融科技 #智慧零售 #智慧教育 #數位轉型 #AI賦能
"
科技Technology,開源模型加速AI民主化進程,"#AIForEveryone #開源AI #StableDiffusion #LLaMA #BLOOM #HuggingFace #AI賦能 #低代碼AI #AI即服務 #社群驅動AI #負責任AI #AI治理 #AI生態系 #PEFT #BigScience
"
科技Technology,邊緣AI加速發展,#邊緣AI #AIoT #邊緣計算 #聯邦學習 #隱私保護AI #移動AI #自動駕駛 #智慧裝置 #即時AI #嵌入式AI #AI晶片 #NPU #TPU #FPGA #ASIC #AI加速器 #IoT智慧 #AI硬體
科技Technology,企業級AI解決方案出現(AIaaS， AI as a service ),"#AIaaS、#AI即服務、#Azure認知服務、#Amazon Bedrock、#Vertex AI、#百度飛槳、#Einstein Platform、#AI中台、#API經濟、#AI賦能企業
"
科技Technology,實體與虛擬「類人機器人」新紀元,"#人形機器人、#類人機器人、#仿生機器人、#AI+機器人、#智慧終端、#人機交互、#機器人應用、#服務型機器人

"
科技Technology,"生成式AI重塑數位互動與創作
",#生成式AI #大型語言模型 #AI創造力 #深度學習 #自然語言處理 #電腦視覺 #AI倫理 #AI內容創作 #未來工作 #人機互動 #AI創新 #數位轉型
科技Technology,"6G通訊開啟全像互聯時代

",#6G #超越行動寬頻 #太赫茲通信 #全息通信 #觸覺互聯網 #天地一體化 #網路AI #次世代無線 #未來連接 #6G願景 #萬物互聯 #無所不在的連接
科技Technology,"元宇宙生態系統加速成型

",#元宇宙 #虛擬實境 #擴增實境 #混合實境 #數位孿生 #虛擬世界 #NFT #區塊鏈 #社交虛擬實境 #元宇宙經濟 #Web3 #沉浸式技術
科技Technology,"腦機介面推進人機融合新境界



",#腦機接口 #神經科技 #神經接口 #腦AI接口 #認知增強 #神經義肢 #腦機共生 #神經工程 #意念控制裝置 #腦信號處理 #神經技術倫理 #人機互動未來
科技Technology,"AI輔助軟體開發工具的普及
 ","#AI代碼生成 #AI輔助程式設計 #代碼AI #GitHubCopilot #自動化代碼審查 #AI測試 #軟體工程2.0 #編碼未來 #AI程式員 #代碼自動化 #AI開發運維 #智能IDE
"
社會Society,社群媒體對青少年的影響加劇,"#心理健康危機 #社交媒體成癮 #Z世代困境 #治療文化 #正念生活 #青少年韌性 #保護兒童上網 #社交媒體上的兒童安全 #科技巨頭責任 #國會聽證會上的兒童安全 #父母剝削 #平台責任 #算法危害
"
社會Society,"AI技術應用廣泛,倫理問題受關注","#人工智慧倫理 #深偽技術 #政治操弄 #數據隱私 #算法偏見 #負責任的人工智慧 #科技監管 #人工智慧安全 #ChatGPT #人工智慧教育 #人工智慧治理







"
社會Society,"婚育觀念翻轉,少子化現象加劇",#少子化、#晚婚、#生育率、#世代差異、#人口結構、#社會變遷、#跨世代管理
社會Society,"性別平權持續推進,社會包容度提升 
","#婚姻平權 #職場平等 #多元性別 #友善職場 #性別刻板 #同志權益 #性別主流化 #多元包容 #MeToo #性別平權 #打破刻板印象 #女性主義 #性別友善 #去污名 #翻轉性別權力 #同婚合法化 #跨性別權益 #多元共融  #教育平權 #酷兒文化
"
社會Society,人口負成長與人力短缺,"#人口負成長  #勞動力短缺  #高齡化社會
"
社會Society,重大災難考驗社會韌性,"#極端氣候 #地質災害 #氣候適應 #災害預警 #城市韌性 #氣候變遷 #防災科技 #永續發展 #環境政策 #氣候行動
"
社會Society,"運動社群風潮盛,推動健康新生活","#運動社群、#健康生活、#線上運動課程、#運動APP、#運動打卡、#運動挑戰賽、#運動旅遊、#運動裝備分享、#運動營養補充、#運動數據追蹤
"
社會Society,"社會安全網破洞,兒童保護亟需加強 ","#兒童保護 #社工短缺 #社會安全網 #虐童防治 #兒童權益 #家庭教育 #社會教育 #政策改革
"
社會Society,"心理健康意識抬頭,社會支持系統受重視 
",#心理健康 #社會支持 #憂鬱症防治 #心理諮詢 #社區支持 #職場心理健康 #校園心理健康 #全人健康
社會Society,"長照需求激增,創新服務模式應運而生 
","#創新長照 #跨代交流 #智慧照護 #社區長照 #老年生活品質 #人口老化 #照護科技 #失智照護
"
社會Society,"數位科技改變社交模式,利弊並存 
",#數位社交 #網路成癮 #數位健康 #社交媒體影響 #青少年網路使用 #數位斷捨離 #網路霸凌 #科技平衡
社會Society,"代際關係緊張,社會包容面臨挑戰 

",#代際關係 #代際衝突 #價值觀差異 #社會包容 #跨代交流 #博愛座爭議 #代際溝通 #社會和諧
社會Society,"工作生活平衡成趨勢,新型工作模式興起 
",#工作生活平衡 #彈性工作 #遠程工作 #職場文化 #生活品質 #職業意義 #安靜辭職 #新工作模式
社會Society,"極簡生活方式興起,反思消費主義 

",#極簡主義 #可持續生活 #反消費主義 #環保意識 #生活品質 #簡約風格 #時間管理 #二手經濟
社會Society,"替代式旅遊成為新興趨勢，較少預算深度體驗 
",#深度旅遊 #可持續旅遊 #替代旅遊 #文化體驗 #生態旅遊 #虛擬旅遊 #個人化旅行 #當地體驗
